tiempo,diag_group,iafas,tipo_consumo,TOTAL_NETO
2021-06-01,Colon,SIS,INSUMO,1465.01
2021-06-01,Colon,SIS,MEDICAMENTO,924.99
2021-06-01,Colon,SIS,PROCEDIMIENTO,4914.42
2021-06-01,Cuello uterino,FISSAL,INSUMO,197202.555
2021-06-01,Cuello uterino,FISSAL,MEDICAMENTO,155396.24
2021-06-01,Cuello uterino,FISSAL,PROCEDIMIENTO,293323.5
2021-06-01,Cuello uterino,SIS,INSUMO,4264.11
2021-06-01,Cuello uterino,SIS,MEDICAMENTO,1316.02
2021-06-01,Cuello uterino,SIS,PROCEDIMIENTO,7072.55
2021-06-01,Estómago,FISSAL,INSUMO,106212.53
2021-06-01,Estómago,FISSAL,MEDICAMENTO,35421.32
2021-06-01,Estómago,FISSAL,PROCEDIMIENTO,132117.01
2021-06-01,Estómago,SIS,INSUMO,21738.035
2021-06-01,Estómago,SIS,MEDICAMENTO,2523.2599999999998
2021-06-01,Estómago,SIS,PROCEDIMIENTO,5978.75
2021-06-01,Leucemias,FISSAL,INSUMO,567580.13
2021-06-01,Leucemias,FISSAL,MEDICAMENTO,559752.14
2021-06-01,Leucemias,FISSAL,PROCEDIMIENTO,1389026.67
2021-06-01,Leucemias,SIS,INSUMO,23900.03
2021-06-01,Leucemias,SIS,MEDICAMENTO,4235.2466
2021-06-01,Leucemias,SIS,PROCEDIMIENTO,29112.12
2021-06-01,Linfomas,FISSAL,INSUMO,212178.2
2021-06-01,Linfomas,FISSAL,MEDICAMENTO,233973.4032
2021-06-01,Linfomas,FISSAL,PROCEDIMIENTO,473483.03
2021-06-01,Linfomas,SIS,INSUMO,704.97
2021-06-01,Linfomas,SIS,MEDICAMENTO,396.3
2021-06-01,Linfomas,SIS,PROCEDIMIENTO,2983.46
2021-06-01,Mama,FISSAL,INSUMO,159409.045
2021-06-01,Mama,FISSAL,MEDICAMENTO,441456.95
2021-06-01,Mama,FISSAL,PROCEDIMIENTO,569479.46
2021-06-01,Mama,SIS,INSUMO,637.83
2021-06-01,Mama,SIS,MEDICAMENTO,478.23
2021-06-01,Mama,SIS,PROCEDIMIENTO,4044.97
2021-06-01,No oncológico (comparador),FISSAL,INSUMO,3722.75
2021-06-01,No oncológico (comparador),FISSAL,MEDICAMENTO,6808.3
2021-06-01,No oncológico (comparador),FISSAL,PROCEDIMIENTO,28081.899999999998
2021-06-01,No oncológico (comparador),SIS,INSUMO,207125.1
2021-06-01,No oncológico (comparador),SIS,MEDICAMENTO,394872.21520000004
2021-06-01,No oncológico (comparador),SIS,PROCEDIMIENTO,601543.23
2021-06-01,Otro,FISSAL,INSUMO,43857.840000000004
2021-06-01,Otro,FISSAL,MEDICAMENTO,18798.07
2021-06-01,Otro,FISSAL,PROCEDIMIENTO,48589.72
2021-06-01,Otro,SIS,INSUMO,1349325.65
2021-06-01,Otro,SIS,MEDICAMENTO,2633836.324
2021-06-01,Otro,SIS,PROCEDIMIENTO,2323603.38
2021-06-01,Próstata,FISSAL,INSUMO,46310.4
2021-06-01,Próstata,FISSAL,MEDICAMENTO,58999.32
2021-06-01,Próstata,FISSAL,PROCEDIMIENTO,87001.17
2021-06-01,Próstata,SIS,INSUMO,1071.29
2021-06-01,Próstata,SIS,MEDICAMENTO,824.09
2021-06-01,Próstata,SIS,PROCEDIMIENTO,4115.93
2021-07-01,Colon,FISSAL,INSUMO,206301.61000000002
2021-07-01,Colon,FISSAL,MEDICAMENTO,88707.91
2021-07-01,Colon,FISSAL,PROCEDIMIENTO,145237.94
2021-07-01,Colon,SIS,INSUMO,2240.7
2021-07-01,Colon,SIS,MEDICAMENTO,1563.86
2021-07-01,Colon,SIS,PROCEDIMIENTO,6396.57
2021-07-01,Cuello uterino,FISSAL,INSUMO,188878.82
2021-07-01,Cuello uterino,FISSAL,MEDICAMENTO,164936.56
2021-07-01,Cuello uterino,FISSAL,PROCEDIMIENTO,280663.25
2021-07-01,Cuello uterino,SIS,INSUMO,4042.72
2021-07-01,Cuello uterino,SIS,MEDICAMENTO,1551.35
2021-07-01,Cuello uterino,SIS,PROCEDIMIENTO,5664.2
2021-07-01,Estómago,FISSAL,INSUMO,187629.05
2021-07-01,Estómago,FISSAL,MEDICAMENTO,40212.46
2021-07-01,Estómago,FISSAL,PROCEDIMIENTO,139144.6
2021-07-01,Estómago,SIS,INSUMO,8630.34
2021-07-01,Estómago,SIS,MEDICAMENTO,2701.61
2021-07-01,Estómago,SIS,PROCEDIMIENTO,9654.04
2021-07-01,Leucemias,FISSAL,INSUMO,430265.98
2021-07-01,Leucemias,FISSAL,MEDICAMENTO,483512.92
